스킬이름|스킬소모HP|스킬소모MP|스킬쿨타임|스킬or버프타입|버프인지|지속턴(즉발형 = -1)|다중공격인지|퍼센트인지|데미지 or 버프증가량 %(백분위) 
강한공격|0|5|4|Att|False|-1|False|True|140
공허돌진|0|5|2|Att|False|-1|False|True|130
강한대포|0|10|5|Att|False|-1|False|True|200
방어모드|0|10|6|Def|True|3|False|True|200
브레스|0|30|5|Att|False|-1|False|True|1000
꼬리치기|0|10|4|Att|False|-1|False|True|200
이중공격|0|15|4|Att|False|-1|False|True|200
매직실드|0|10|4|Def|True|3|False|True|150
에너지볼트|0|20|4|Att|False|-1|False|True|150
힐|0|15|4|CurrentHP|True|-1|False|False|50
메테오|0|30|6|Att|False|-1|True|True|200
파이어볼트|0|20|4|Att|False|-1|False|True|200
버서크|40|10|6|Att|True|4|False|True|200
로어|30|0|5|MaxHP|False|-1|True|True|30
기습|0|10|4|Att|False|-1|False|True|300
은신|0|10|4|Def|True|1|False|False|1000
숨기|0|10|4|Def|True|2|False|False|1000
단검분사|0|10|5|Att|False|-1|True|True|100
뛰어들기|0|10|2|Att|False|-1|False|True|80
집어던지기|0|20|5|Att|False|-1|False|True|130
마나회복|0|0|7|CurrentMP|True|-1|False|False|100
END
